time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-01 00:00:00+00:00,52,30,39,5
2026-07-02 00:00:00+00:00,114,61,27,4
2026-07-03 00:00:00+00:00,78,52,21,3
2026-07-04 00:00:00+00:00,67,45,7,5
2026-07-05 00:00:00+00:00,157,46,14,5
2026-07-06 00:00:00+00:00,90,46,14,10
2026-07-07 00:00:00+00:00,154,48,29,8
2026-07-08 00:00:00+00:00,115,42,19,7
2026-07-09 00:00:00+00:00,81,33,53,11
2026-07-10 00:00:00+00:00,220,56,89,22
2026-07-11 00:00:00+00:00,102,34,48,26
2026-07-12 00:00:00+00:00,38,15,7,6
2026-07-13 00:00:00+00:00,69,39,29,8
2026-07-14 00:00:00+00:00,157,68,92,14
