time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-09 00:00:00+00:00,59,18,60,5
2025-07-10 00:00:00+00:00,48,15,44,11
2025-07-11 00:00:00+00:00,18,9,22,5
2025-07-12 00:00:00+00:00,13,7,6,1
2025-07-13 00:00:00+00:00,10,4,5,3
2025-07-14 00:00:00+00:00,18,7,48,11
2025-07-15 00:00:00+00:00,45,13,113,10
2025-07-16 00:00:00+00:00,13,6,18,5
2025-07-17 00:00:00+00:00,26,7,21,5
2025-07-18 00:00:00+00:00,14,8,16,9
2025-07-19 00:00:00+00:00,31,7,6,3
2025-07-20 00:00:00+00:00,9,3,31,3
2025-07-21 00:00:00+00:00,13,7,7,5
2025-07-22 00:00:00+00:00,1,1,26,4
