time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-30 00:00:00+00:00,33,10,24,5
2025-05-31 00:00:00+00:00,18,6,2,2
2025-06-01 00:00:00+00:00,14,6,2,2
2025-06-02 00:00:00+00:00,18,6,20,8
2025-06-03 00:00:00+00:00,13,6,160,8
2025-06-04 00:00:00+00:00,44,11,20,5
2025-06-05 00:00:00+00:00,16,8,60,4
2025-06-06 00:00:00+00:00,37,10,8,1
2025-06-07 00:00:00+00:00,17,9,5,4
2025-06-08 00:00:00+00:00,11,5,14,3
2025-06-09 00:00:00+00:00,13,5,13,5
2025-06-10 00:00:00+00:00,61,17,210,16
2025-06-11 00:00:00+00:00,18,8,15,4
2025-06-12 00:00:00+00:00,48,4,48,9
