time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-31 00:00:00+00:00,80,25,19,19
2026-06-01 00:00:00+00:00,62,21,14,10
2026-06-02 00:00:00+00:00,118,32,8,6
2026-06-03 00:00:00+00:00,42,15,8,8
2026-06-04 00:00:00+00:00,47,17,11,2
2026-06-05 00:00:00+00:00,43,15,10,3
2026-06-06 00:00:00+00:00,58,27,2,2
2026-06-07 00:00:00+00:00,45,14,4,2
2026-06-08 00:00:00+00:00,61,28,14,7
2026-06-09 00:00:00+00:00,466,53,36,8
2026-06-10 00:00:00+00:00,221,36,29,7
2026-06-11 00:00:00+00:00,86,33,11,5
2026-06-12 00:00:00+00:00,176,28,61,11
2026-06-13 00:00:00+00:00,89,37,1,1
