time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-24 00:00:00+00:00,13,7,5,4
2025-08-25 00:00:00+00:00,53,17,29,4
2025-08-26 00:00:00+00:00,80,18,21,5
2025-08-27 00:00:00+00:00,17,10,10,2
2025-08-28 00:00:00+00:00,19,8,6,4
2025-08-29 00:00:00+00:00,19,5,68,13
2025-08-30 00:00:00+00:00,14,8,3,3
2025-08-31 00:00:00+00:00,12,6,2,2
2025-09-01 00:00:00+00:00,15,9,29,4
2025-09-02 00:00:00+00:00,66,16,67,9
2025-09-03 00:00:00+00:00,55,25,51,6
2025-09-04 00:00:00+00:00,14,11,31,5
2025-09-05 00:00:00+00:00,8,7,19,9
2025-09-06 00:00:00+00:00,1,1,2,1
