time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-31 00:00:00+00:00,12,6,2.0,2.0
2025-09-01 00:00:00+00:00,15,9,29.0,4.0
2025-09-02 00:00:00+00:00,66,16,67.0,9.0
2025-09-03 00:00:00+00:00,55,25,51.0,6.0
2025-09-04 00:00:00+00:00,14,11,31.0,5.0
2025-09-05 00:00:00+00:00,8,7,19.0,9.0
2025-09-06 00:00:00+00:00,8,8,2.0,1.0
2025-09-07 00:00:00+00:00,7,6,5.0,2.0
2025-09-08 00:00:00+00:00,15,9,49.0,11.0
2025-09-09 00:00:00+00:00,6,6,57.0,13.0
2025-09-10 00:00:00+00:00,5,5,27.0,4.0
2025-09-11 00:00:00+00:00,13,11,34.0,6.0
2025-09-12 00:00:00+00:00,10,9,25.0,7.0
2025-09-13 00:00:00+00:00,2,2,,
