time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-20 00:00:00+00:00,52,16,4,3
2026-06-21 00:00:00+00:00,271,28,5,1
2026-06-22 00:00:00+00:00,106,38,46,7
2026-06-23 00:00:00+00:00,112,46,22,10
2026-06-24 00:00:00+00:00,64,30,23,10
2026-06-25 00:00:00+00:00,45,19,15,4
2026-06-26 00:00:00+00:00,59,23,25,7
2026-06-27 00:00:00+00:00,61,20,11,8
2026-06-28 00:00:00+00:00,285,16,6,1
2026-06-29 00:00:00+00:00,47,25,14,9
2026-06-30 00:00:00+00:00,46,20,26,5
2026-07-01 00:00:00+00:00,52,30,39,5
2026-07-02 00:00:00+00:00,114,61,27,4
2026-07-03 00:00:00+00:00,78,52,21,3
