time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-05 00:00:00+00:00,43,15,10,3
2026-06-06 00:00:00+00:00,58,27,2,2
2026-06-07 00:00:00+00:00,45,14,4,2
2026-06-08 00:00:00+00:00,61,28,14,7
2026-06-09 00:00:00+00:00,466,53,36,8
2026-06-10 00:00:00+00:00,221,36,29,7
2026-06-11 00:00:00+00:00,86,33,11,5
2026-06-12 00:00:00+00:00,176,28,61,11
2026-06-13 00:00:00+00:00,89,37,1,1
2026-06-14 00:00:00+00:00,91,35,9,2
2026-06-15 00:00:00+00:00,67,27,19,9
2026-06-16 00:00:00+00:00,114,27,35,10
2026-06-17 00:00:00+00:00,75,27,19,9
2026-06-18 00:00:00+00:00,330,28,27,13
