time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-09 00:00:00+00:00,56,40,22,17
2025-12-10 00:00:00+00:00,13,8,24,8
2025-12-11 00:00:00+00:00,16,8,20,8
2025-12-12 00:00:00+00:00,24,16,50,11
2025-12-13 00:00:00+00:00,21,16,40,5
2025-12-14 00:00:00+00:00,14,9,42,4
2025-12-15 00:00:00+00:00,39,23,31,7
2025-12-16 00:00:00+00:00,45,22,46,13
2025-12-17 00:00:00+00:00,59,43,22,8
2025-12-18 00:00:00+00:00,39,24,2,2
2025-12-19 00:00:00+00:00,41,29,4,4
2025-12-20 00:00:00+00:00,34,15,30,5
2025-12-21 00:00:00+00:00,15,9,7,4
2025-12-22 00:00:00+00:00,6,5,26,4
