time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-08 00:00:00+00:00,14,8,4,4
2025-08-09 00:00:00+00:00,22,5,2,2
2025-08-10 00:00:00+00:00,11,5,1,1
2025-08-11 00:00:00+00:00,43,18,19,6
2025-08-12 00:00:00+00:00,24,13,12,5
2025-08-13 00:00:00+00:00,72,19,21,4
2025-08-14 00:00:00+00:00,16,10,17,7
2025-08-15 00:00:00+00:00,30,7,12,3
2025-08-16 00:00:00+00:00,10,4,5,4
2025-08-17 00:00:00+00:00,16,10,6,4
2025-08-18 00:00:00+00:00,43,10,15,2
2025-08-19 00:00:00+00:00,66,21,7,4
2025-08-20 00:00:00+00:00,19,6,4,2
2025-08-21 00:00:00+00:00,17,12,22,5
